domain_name,returned_record,record_type,v,p,pct,rua,ruf,sp,adkim,aspf,others,invalid_flags,config_v_p_order,config_v,config_p,config_pct,config_sp,raw_data
ROWANCOUNTYNC.GOV,Yes,TXT,DMARC1,reject,100,mailto:b7e1d6c382f2622@rep.dmarcanalyzer.com,,reject,s,s,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:b7e1d6c382f2622@rep.dmarcanalyzer.com; pct=100; sp=reject; adkim=s; aspf=s;"""
PRINCEWILLIAMVA.GOV,No,,,,,,,,,,,,,,,,,
MONROECOUNTYWV.GOV,No,,,,,,,,,,,,,,,,,
BURLINGTONNC.GOV,No,,,,,,,,,,,,,,,,,
ABINGTONMA.GOV,No,,,,,,,,,,,,,,,,,
ALLIANCEOH.GOV,No,,,,,,,,,,,,,,,,,
LAKECOUNTYCLERKFL.GOV,No,,,,,,,,,,,,,,,,,
AZENVIROKIDS.GOV,No,,,,,,,,,,,,,,,,,
RESOURCECOOP-MN.GOV,No,,,,,,,,,,,,,,,,,
WESTWOODNJ.GOV,No,,,,,,,,,,,,,,,,,
LSC.GOV,Yes,TXT,DMARC1,quarantine,100,,,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; pct=100"""
MONROECOUNTY-FL.GOV,Yes,TXT,DMARC1,none,,mailto:DMARC@monroecounty-fl.gov,mailto:DMARC@monroecounty-fl.gov,,s,s,fo=1 ,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:DMARC@monroecounty-fl.gov; ruf=mailto:DMARC@monroecounty-fl.gov; fo=1; adkim=s; aspf=s;"""
CITYOFAIKENSC.GOV,Yes,TXT,DMARC1,quarantine,20,mailto:postmaster@cityofaikensc.gov,,,,,,,Valid,Valid,Valid,Very bad: 20,Valid,"""v=DMARC1; p=quarantine; pct=20; rua=mailto:postmaster@cityofaikensc.gov"""
CABOTAR.GOV,No,,,,,,,,,,,,,,,,,
FLDJJ.GOV,No,,,,,,,,,,,,,,,,,
CALIFORNIACITY-CA.GOV,No,,,,,,,,,,,,,,,,,
CHATHAMTOWNSHIP-NJ.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHUMBLETX.GOV,No,,,,,,,,,,,,,,,,,
CITYOFCAYCE-SC.GOV,No,,,,,,,,,,,,,,,,,
CITYOFALBIONMI.GOV,No,,,,,,,,,,,,,,,,,
ABERDEENWA.GOV,No,,,,,,,,,,,,,,,,,
FORTWORTH-TEXAS.GOV,No,,,,,,,,,,,,,,,,,
WELD.GOV,No,,,,,,,,,,,,,,,,,
EMPLOYEEEXPRESS.GOV,Yes,TXT,DMARC1,reject,,"mailto:DMARCaggregate@opm.gov,mailto:reports@dmarc.cyber.dhs.gov",mailto:DMARCforensic@opm.gov,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:DMARCaggregate@opm.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:DMARCforensic@opm.gov;"""
BUCHANANGA.GOV,No,,,,,,,,,,,,,,,,,
ADRIANMI.GOV,No,,,,,,,,,,,,,,,,,
DELTONAFL.GOV,No,,,,,,,,,,,,,,,,,
ALEXANDERCITYAL.GOV,No,,,,,,,,,,,,,,,,,
CEDARHURST.GOV,No,,,,,,,,,,,,,,,,,
HOLLYSPRINGSNC.GOV,No,,,,,,,,,,,,,,,,,
AMHERSTMA.GOV,No,,,,,,,,,,,,,,,,,
ALAMEDACA.GOV,No,,,,,,,,,,,,,,,,,
ABILENETX.GOV,Yes,TXT,DMARC1,none,5,mailto:postmaster@abilenetx.com,,,,,,,Valid,Valid,Very bad: none,Very bad: 5,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; pct=5; rua=mailto:postmaster@abilenetx.com"""
CENTRALPOINTOREGON.GOV,No,,,,,,,,,,,,,,,,,
BULLVALLEYIL.GOV,No,,,,,,,,,,,,,,,,,
USASTAFFING.GOV,Yes,TXT,DMARC1,reject,,"mailto:DMARCaggregateHRTT@opm.gov,mailto:reports@dmarc.cyber.dhs.gov",mailto:DMARCforensic@opm.gov,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:DMARCaggregateHRTT@opm.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:DMARCforensic@opm.gov;"""
HIGHLANDIL.GOV,No,,,,,,,,,,,,,,,,,
ALLENTOWNPA.GOV,Yes,CNAME,,,,,,,,,,,,,,,,allentownpa.gov.hosted.dmarc-report.com.
ALLENTOWNPA.GOV,Yes,TXT,DMARC1,quarantine,100,mailto:13667f98@mxtoolbox.dmarc-report.com,mailto:13667f98@forensics.dmarc-report.com,,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; fo=1; pct=100; rua=mailto:13667f98@mxtoolbox.dmarc-report.com; ruf=mailto:13667f98@forensics.dmarc-report.com"""
VILLARICA.GOV,No,,,,,,,,,,,,,,,,,
MANCHESTERCT.GOV,No,,,,,,,,,,,,,,,,,
HURSTTX.GOV,No,,,,,,,,,,,,,,,,,
CHESTERVT.GOV,No,,,,,,,,,,,,,,,,,
SANMIGUELCOUNTYCO.GOV,No,,,,,,,,,,,,,,,,,
AFRICANAMERICANHISTORYMONTH.GOV,No,,,,,,,,,,,,,,,,,
CITYOFGUTTENBERGIA.GOV,No,,,,,,,,,,,,,,,,,
CANBYMN.GOV,No,,,,,,,,,,,,,,,,,
WESTSTOCKBRIDGE-MA.GOV,No,,,,,,,,,,,,,,,,,
NIAGARAFALLSNY.GOV,No,,,,,,,,,,,,,,,,,
CHIPPEWAFALLS-WI.GOV,No,,,,,,,,,,,,,,,,,
COVERME.GOV,No,,,,,,,,,,,,,,,,,
BRLA.GOV,Yes,TXT,DMARC1,none,,,,,,,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none"""
BUTLERWI.GOV,Yes,TXT,DMARC1,quarantine,25,,,,,,fo=1 ,,Valid,Valid,Valid,Bad: 25,Valid,"""v=DMARC1; p=quarantine; fo=1; pct=25"""
SHORELINE-WA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFAUBURNWA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFCOWETA-OK.GOV,No,,,,,,,,,,,,,,,,,
AMERICUSGA.GOV,No,,,,,,,,,,,,,,,,,
CEDARPARKTEXAS.GOV,No,,,,,,,,,,,,,,,,,
CARPINTERIACA.GOV,No,,,,,,,,,,,,,,,,,
SANDIEGOCOUNTY.GOV,No,,,,,,,,,,,,,,,,,
CHESAPEAKECITY-MD.GOV,No,,,,,,,,,,,,,,,,,
CITYOFMACON-MO.GOV,No,,,,,,,,,,,,,,,,,
CHARLESTOWN-NH.GOV,Yes,CNAME,,,,,,,,,,,,,,,,charlestown-nh.gov.hosted.dmarc-report.com.
CHARLESTOWN-NH.GOV,Yes,TXT,DMARC1,quarantine,100,mailto:7fd77f02@mxtoolbox.dmarc-report.com,mailto:7fd77f02@forensics.dmarc-report.com,,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; pct=100; fo=1; rua=mailto:7fd77f02@mxtoolbox.dmarc-report.com; ruf=mailto:7fd77f02@forensics.dmarc-report.com"""
MONTGOMERYPROBATECOURTAL.GOV,No,,,,,,,,,,,,,,,,,
SANPABLOCA.GOV,Yes,TXT,DMARC1,none,100,mailto:re+vznwmsbeglz@dmarc.postmarkapp.com,,none,,r,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; pct=100; rua=mailto:re+vznwmsbeglz@dmarc.postmarkapp.com; sp=none; aspf=r;"""
WAYNESBURGPA.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHUNTSVILLETX.GOV,No,,,,,,,,,,,,,,,,,
ALTON-TX.GOV,No,,,,,,,,,,,,,,,,,
CECC.GOV,No,,,,,,,,,,,,,,,,,
BLUFFTONINDIANA.GOV,No,,,,,,,,,,,,,,,,,
RVA.GOV,No,,,,,,,,,,,,,,,,,
HORSESHOE-BAY-TX.GOV,No,,,,,,,,,,,,,,,,,
BURLINGTONVT.GOV,No,,,,,,,,,,,,,,,,,
CITYOFDUNBARWV.GOV,No,,,,,,,,,,,,,,,,,
CHICOPEEMA.GOV,No,,,,,,,,,,,,,,,,,
CARYNC.GOV,No,,,,,,,,,,,,,,,,,
APPLICATIONMANAGER.GOV,Yes,TXT,DMARC1,reject,,"mailto:DMARCaggregate@opm.gov,mailto:reports@dmarc.cyber.dhs.gov",mailto:DMARCforensic@opm.gov,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:DMARCaggregate@opm.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:DMARCforensic@opm.gov;"""
SARASOTAVOTES.GOV,No,,,,,,,,,,,,,,,,,
WOMENSHISTORYMONTH.GOV,No,,,,,,,,,,,,,,,,,
OSCODATOWNSHIPMI.GOV,Yes,CNAME,,,,,,,,,,,,,,,,oscodatownshipmi.gov.
OSCODATOWNSHIPMI.GOV,Yes,TXT,,,,,,,,,,,,,,,,"""MS=ms73767121"""
OSCODATOWNSHIPMI.GOV,Yes,TXT,,,,,,,,,,,,,,,,"""v=spf1 mx ip4:199.21.130.19/32 a:spf.protection.outlook.com ~all"""
CAVESPRINGSAR.GOV,No,,,,,,,,,,,,,,,,,
DRYWALLRESPONSE.GOV,Yes,TXT,DMARC1,reject,,"mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov"""
TOBYHANNATWPPA.GOV,No,,,,,,,,,,,,,,,,,
EDINAMN.GOV,Yes,TXT,DMARC1,quarantine,100,,mailto:abuse@edinamn.gov,,,,fo=0:1:d:s ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; ruf=mailto:abuse@edinamn.gov; fo=0:1:d:s; pct=100"""
BALHARBOURFL.GOV,No,,,,,,,,,,,,,,,,,
MYSC.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHOUSTON.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHOKAH-MN.GOV,No,,,,,,,,,,,,,,,,,
BCOHIO.GOV,No,,,,,,,,,,,,,,,,,
ALBANYCA.GOV,No,,,,,,,,,,,,,,,,,
CAMBRIDGEMA.GOV,Yes,TXT,DMARC1,quarantine,100,mailto:ivrhmxnn@ag.dmarcian.com,mailto:ivrhmxnn@fr.dmarcian.com,,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; rua=mailto:ivrhmxnn@ag.dmarcian.com; ruf=mailto:ivrhmxnn@fr.dmarcian.com; fo=1; pct=100"""
PEABODY-MA.GOV,No,,,,,,,,,,,,,,,,,
CAVECREEKAZ.GOV,No,,,,,,,,,,,,,,,,,
CITYOFNANTICOKE-PA.GOV,No,,,,,,,,,,,,,,,,,
REALESTATESALES.GOV,Yes,TXT,DMARC1,reject,100,"mailto:dmarcreports@gsa.gov,mailto:reports@dmarc.cyber.dhs.gov",mailto:dmarcfailures@gsa.gov,,,,fo=1 ri=86400 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; pct=100; fo=1; ri=86400; rua=mailto:dmarcreports@gsa.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcfailures@gsa.gov"""
CENTERLINE.GOV,Yes,TXT,DMARC1,reject,,mailto:dmarc@itright.com,mailto:dmarc@itright.com,,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:dmarc@itright.com; ruf=mailto:dmarc@itright.com; fo=1;"""
BLUFFCITYTN.GOV,No,,,,,,,,,,,,,,,,,
VILLAGEOFHEMPSTEADNY.GOV,No,,,,,,,,,,,,,,,,,
CHARLESTON-SC.GOV,Yes,TXT,DMARC1,quarantine,100,,,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; pct=100"""
FREMONTNC.GOV,No,,,,,,,,,,,,,,,,,
AMHERSTNH.GOV,No,,,,,,,,,,,,,,,,,
CITYOFLISBON-IA.GOV,No,,,,,,,,,,,,,,,,,
HISTORY.GOV,Yes,TXT,DMARC1,reject,,mailto:reports@dmarc.cyber.dhs.gov,,reject,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; sp=reject"""
CHAMPAIGNIL.GOV,Yes,TXT,DMARC1,reject,,mailto:i9jkqpl0@ag.dmarcian.com,mailto:i9jkqpl0@fr.dmarcian.com,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:i9jkqpl0@ag.dmarcian.com; ruf=mailto:i9jkqpl0@fr.dmarcian.com"""
MIAMISPRINGS-FL.GOV,No,,,,,,,,,,,,,,,,,
CECILTOWNSHIP-PA.GOV,No,,,,,,,,,,,,,,,,,
ANDOVER-NH.GOV,No,,,,,,,,,,,,,,,,,
NMCOURT.FED.US,No,,,,,,,,,,,,,,,,,
BURR-RIDGE.GOV,No,,,,,,,,,,,,,,,,,
CHEVYCHASEVILLAGEMD.GOV,No,,,,,,,,,,,,,,,,,
COALRUNKY.GOV,No,,,,,,,,,,,,,,,,,
DORCHESTERCOUNTYSC.GOV,Yes,TXT,DMARC1,quarantine,100,,,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=quarantine; pct=100"""
RENTONWA.GOV,Yes,TXT,DMARC1,reject,100,mailto:postmaster@rentonwa.gov,mailto:postmaster@rentonwa.gov,reject,s,r,rf=afrf ri=86400 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; sp=reject; rua=mailto:postmaster@rentonwa.gov; ruf=mailto:postmaster@rentonwa.gov; rf=afrf; pct=100; ri=86400; adkim=s; aspf=r"""
GUSTAVUS-AK.GOV,No,,,,,,,,,,,,,,,,,
DALLASOREGON.GOV,No,,,,,,,,,,,,,,,,,
CITYOFHERCULANEUM.GOV,No,,,,,,,,,,,,,,,,,
TYRINGHAM-MA.GOV,No,,,,,,,,,,,,,,,,,
CHULAVISTACA.GOV,Yes,TXT,DMARC1,none,,,,,,,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none"""
WILAWLIBRARY.GOV,Yes,TXT,DMARC1,quarantine,100,,,none,r,r,fo=0 rf=afrf ri=86400 ,,Valid,Valid,Valid,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1;p=quarantine;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400"""
GALLATINTN.GOV,No,,,,,,,,,,,,,,,,,
CABQ.GOV,Yes,TXT,DMARC1,none,100,mailto:re+t2jbosbdmug@dmarc.postmarkapp.com,,none,,r,,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; pct=100; rua=mailto:re+t2jbosbdmug@dmarc.postmarkapp.com; sp=none; aspf=r;"""
MANCHESTER-VT.GOV,No,,,,,,,,,,,,,,,,,
WANATAH-IN.GOV,No,,,,,,,,,,,,,,,,,
MARSHFIELD-MA.GOV,No,,,,,,,,,,,,,,,,,
ANDOVERMA.GOV,No,,,,,,,,,,,,,,,,,
EVERETTWA.GOV,Yes,TXT,DMARC1,none,,mailto:rua@everettwa.gov,mailto:ruf@everettwa.gov,none,,,fo=s ri=86400 ,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:rua@everettwa.gov; ruf=mailto:ruf@everettwa.gov; sp=none; fo=s; ri=86400"""
GAJQC.GOV,No,,,,,,,,,,,,,,,,,
PARTNERSFORHEALTHTN.GOV,No,,,,,,,,,,,,,,,,,
SEVIERCOUNTYTN.GOV,No,,,,,,,,,,,,,,,,,
LYNNWOODWA.GOV,Yes,TXT,DMARC1,none,,mailto:d2f3ba2ba405574@rep.dmarcanalyzer.com,mailto:d2f3ba2ba405574@for.dmarcanalyzer.com,none,,,fo=1 ,,Valid,Valid,Very bad: none,Valid,Bad: sp=none: Ignores subdomain DMARC fails,"""v=DMARC1; p=none; rua=mailto:d2f3ba2ba405574@rep.dmarcanalyzer.com; ruf=mailto:d2f3ba2ba405574@for.dmarcanalyzer.com; sp=none; fo=1;"""
SANMARINOCA.GOV,No,,,,,,,,,,,,,,,,,
HOWARDCOUNTYMD.GOV,No,,,,,,,,,,,,,,,,,
NWBC.GOV,Yes,TXT,DMARC1,reject,100,"mailto:reports@dmarc.cyber.dhs.gov,mailto:DMARC-Reports@sba.gov","mailto:reports@dmarc.cyber.dhs.gov,mailto:DMARC-Reports@sba.gov",,,,fo=1 ,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1;p=reject;pct=100;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:DMARC-Reports@sba.gov;ruf=mailto:reports@dmarc.cyber.dhs.gov,mailto:DMARC-Reports@sba.gov;fo=1"""
AMHERSTVA.GOV,No,,,,,,,,,,,,,,,,,
HEDWIGTX.GOV,No,,,,,,,,,,,,,,,,,
PRIVACYSHIELD.GOV,Yes,TXT,DMARC1,reject,,"mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc_reports@trade.gov,mailto:dmarc-reports@doc.gov",mailto:dmarc_reports@trade.gov,reject,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc_reports@trade.gov,mailto:dmarc-reports@doc.gov; ruf=mailto:dmarc_reports@trade.gov; sp=reject"""
FIRSTNET.GOV,Yes,TXT,DMARC1,reject,,"mailto:dmarc-rua@firstnet.gov,mailto:dmarc-reports@doc.gov,mailto:reports@dmarc.cyber.dhs.gov",,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:dmarc-rua@firstnet.gov,mailto:dmarc-reports@doc.gov,mailto:reports@dmarc.cyber.dhs.gov"""
FAIRHOPEAL.GOV,No,,,,,,,,,,,,,,,,,
NVTC.GOV,Yes,TXT,DMARC1,reject,100,"mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarcreports@usdoj.gov",,,,,,,Valid,Valid,Valid,Valid,Valid,"""v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarcreports@usdoj.gov; pct=100"""
